TIME STAMP:30
SYSTEM TIME: Thu Oct 18 21:27:22 2018
SYSTEM TIME: Thu Oct 18 21:31:34 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,543

,Average Computation Time,5.76471
,Maximum Computation Time,10
,Service Rate,28.0774
,Service Rate After Re-Balancing,60.8272
,Average Waiting Time,456.048
,Average Total Travel Delay,66.6297
,Average In Car Travel Delay,-370.393
,Occupancy (Passengers/Vehicle),1.64427
,Unassigned Requests Found,378
,Unassigned Vehicles Found,153
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:1730
SYSTEM TIME: Thu Oct 18 21:31:40 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,368

,Average Computation Time,5.71429
,Maximum Computation Time,10
,Service Rate,27.3132
,Service Rate After Re-Balancing,59.6169
,Average Waiting Time,457.017
,Average Total Travel Delay,67.2412
,Average In Car Travel Delay,-374.208
,Occupancy (Passengers/Vehicle),1.64164
,Unassigned Requests Found,212
,Unassigned Vehicles Found,148
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:1800
SYSTEM TIME: Thu Oct 18 21:31:47 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,512

,Average Computation Time,5.69444
,Maximum Computation Time,10
,Service Rate,27.414
,Service Rate After Re-Balancing,59.5697
,Average Waiting Time,456.716
,Average Total Travel Delay,67.2392
,Average In Car Travel Delay,-378.633
,Occupancy (Passengers/Vehicle),1.63889
,Unassigned Requests Found,340
,Unassigned Vehicles Found,138
,ILP Solve Time,1
,Rebalance Time,2

TIME STAMP:1830
SYSTEM TIME: Thu Oct 18 21:31:52 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,332

,Average Computation Time,5.64865
,Maximum Computation Time,10
,Service Rate,26.6751
,Service Rate After Re-Balancing,58.1182
,Average Waiting Time,459.13
,Average Total Travel Delay,67.9557
,Average In Car Travel Delay,-390.879
,Occupancy (Passengers/Vehicle),1.63534
,Unassigned Requests Found,176
,Unassigned Vehicles Found,130
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:1900
SYSTEM TIME: Thu Oct 18 21:31:59 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,516

,Average Computation Time,5.63158
,Maximum Computation Time,10
,Service Rate,26.7579
,Service Rate After Re-Balancing,58.2622
,Average Waiting Time,458.269
,Average Total Travel Delay,71.5475
,Average In Car Travel Delay,-394.597
,Occupancy (Passengers/Vehicle),1.63186
,Unassigned Requests Found,338
,Unassigned Vehicles Found,115
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:1930
SYSTEM TIME: Thu Oct 18 21:32:04 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,314

,Average Computation Time,5.58974
,Maximum Computation Time,10
,Service Rate,26.1813
,Service Rate After Re-Balancing,56.9913
,Average Waiting Time,461.964
,Average Total Travel Delay,73.6058
,Average In Car Travel Delay,-402.381
,Occupancy (Passengers/Vehicle),1.62859
,Unassigned Requests Found,141
,Unassigned Vehicles Found,112
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:2000
SYSTEM TIME: Thu Oct 18 21:32:11 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,485

,Average Computation Time,5.575
,Maximum Computation Time,10
,Service Rate,26.3459
,Service Rate After Re-Balancing,57.1939
,Average Waiting Time,461.232
,Average Total Travel Delay,76.1644
,Average In Car Travel Delay,-412.233
,Occupancy (Passengers/Vehicle),1.62532
,Unassigned Requests Found,279
,Unassigned Vehicles Found,103
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:2030
SYSTEM TIME: Thu Oct 18 21:32:16 2018
,Iteration Computation Time,3
,Number of vehicles available,1000
,Number of pending requests,346

,Average Computation Time,5.5122
,Maximum Computation Time,10
,Service Rate,25.9221
,Service Rate After Re-Balancing,56.245
,Average Waiting Time,463.149
,Average Total Travel Delay,78.1954
,Average In Car Travel Delay,-420.721
,Occupancy (Passengers/Vehicle),1.62148
,Unassigned Requests Found,148
,Unassigned Vehicles Found,98
,ILP Solve Time,1
,Rebalance Time,1

TIME STAMP:2100
SYSTEM TIME: Thu Oct 18 21:32:22 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,524

,Average Computation Time,5.47619
,Maximum Computation Time,10
,Service Rate,26.0978
,Service Rate After Re-Balancing,56.3826
,Average Waiting Time,464.078
,Average Total Travel Delay,79.5302
,Average In Car Travel Delay,-424.987
,Occupancy (Passengers/Vehicle),1.61761
,Unassigned Requests Found,303
,Unassigned Vehicles Found,88
,ILP Solve Time,1
,Rebalance Time,1

TIME STAMP:2130
SYSTEM TIME: Thu Oct 18 21:32:27 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,347

,Average Computation Time,5.44186
,Maximum Computation Time,10
,Service Rate,25.6593
,Service Rate After Re-Balancing,55.3233
,Average Waiting Time,466.751
,Average Total Travel Delay,80.9925
,Average In Car Travel Delay,-432.459
,Occupancy (Passengers/Vehicle),1.61378
,Unassigned Requests Found,141
,Unassigned Vehicles Found,80
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:2200
SYSTEM TIME: Thu Oct 18 21:32:33 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,473

,Average Computation Time,5.40909
,Maximum Computation Time,10
,Service Rate,25.8106
,Service Rate After Re-Balancing,55.2962
,Average Waiting Time,466.765
,Average Total Travel Delay,82.6764
,Average In Car Travel Delay,-437.147
,Occupancy (Passengers/Vehicle),1.61013
,Unassigned Requests Found,262
,Unassigned Vehicles Found,72
,ILP Solve Time,0
,Rebalance Time,1

TIME STAMP:2230
SYSTEM TIME: Thu Oct 18 21:32:38 2018
,Iteration Computation Time,3
,Number of vehicles available,1000
,Number of pending requests,317

,Average Computation Time,5.35556
,Maximum Computation Time,10
,Service Rate,25.4976
,Service Rate After Re-Balancing,54.4731
,Average Waiting Time,468.583
,Average Total Travel Delay,83.9362
,Average In Car Travel Delay,-442.667
,Occupancy (Passengers/Vehicle),1.60635
,Unassigned Requests Found,124
,Unassigned Vehicles Found,71
,ILP Solve Time,0
,Rebalance Time,1

TIME STAMP:2300
